genus,english_vernacular,chinese_vernacular,kimi_label,success,error
Jikradia,coppery leafhopper,none,Leafhoppers,True,
Psaphida,figure-eight sallow moth; roland's sallow; chosen sallow moth; fawn sallow; figure-eight sallow; chosen sallow; gray sallow; thaxter’s sallow,古北灰冬夜蛾; 灰冬夜蛾属,Moths,True,
Ptilodon,coxcomb prominent; maple prominent,严羽齿舟蛾; 侯羽齿舟蛾; 富羽齿舟蛾; 富舟蛾; 小林羽齿舟蛾; 影带羽齿舟蛾; 拟粗羽齿舟蛾; 暗羽齿舟蛾; 板突羽齿舟蛾; 秋羽齿舟蛾; 絢羽齒舟蛾; 细羽齿舟蛾; 绚羽齿舟蛾; 羽齿舟蛾属,Moths,True,
Pyrota,yellow-crescent pyrota; charlie brown blister beetle; red-margined pyrota; winecup pyrota; creosote blister beetle; edged blister beetle; beebalm pyrota; southwestern red-lined pyrota; side-spoted pyrota; ivory-winged pyrota; arizona trochanter blister beetle; black-necked checkered blister beetle; coastal sand plains pyrota; four-lined pyrota; yellow-lined pyrota,none,Beetles,True,
Rhizoecus,trinity ground mealybug; slender ground mealybug; ground mealybug; blind mealybug; cacticans mealybug; california ground mealybug; florida ground mealybug; graminis ground mealybug; pritchard mealybug; white root mealybug,none,Scales,True,
Scolopterus,four-spined weevil,none,Beetles,True,
Serica,yellow serica; brown chafer; mid-june beetle; harvest june beetle; full june beetle; crescent dunes serican scarab; humboldt serican scarab; sand mountain serican scarab; crescent dunes serica; silky chafer; centex serica scarab,绒金龟属; 绢金龟属,Beetles,True,
Sesamia,corn stalk borer; sugar-cane stem-borer; purple stem borer,水稻大螟; 污杆夜蛾; 直緣紋夜蛾; 稻蛀茎夜蛾; 臺灣污陰夜蛾; 蛀茎夜蛾; 蛀茎夜蛾属,Moths,True,
Sideridis,campion; maroonwing moth; rosewing moth; hairy artesta moth; bordered gothic; german cousin moth; white colon,寡夜蛾属; 灰褐寡夜蛾; 烦寡夜蛾; 织网夜蛾; 织网寡夜蛾; 网寡夜蛾,Moths,True,
Siproeta,malachite; rusty-tipped page; broad-banded page; malachite butterfly,帘蛱蝶; 红端帘蛱蝶; 绿帘蛱蝶,Butterflies,True,
Stephanitis,rhododendron lace bug; andromeda lace bug; banana lace-wing bug; azalea lace bug; pear lace bug; banana lace bug; coconut lace bug,冠網蝽屬; 冠网蝽属; 斑脊冠網蝽; 明脊冠網蝽; 杜鵑冠網蝽; 杜鹃冠网蝽; 梨冠网蝽; 樟脊冠网蝽; 維脊冠網蝽; 繡球冠網蝽; 鉤樟冠網蝽; 钩樟冠网蝽; 防己冠網蝽; 防己冠网蝽; 香蕉冠網蝽; 香蕉冠网蝽; 黑腿冠網蝽,Bugs,True,
Sternochetus,mango seed weevil; mango stone weevil; mango pulp weevil,杧果果实象; 杧果果核象; 杧果果肉象; 杧果象属,Beetles,True,
Tinginotum,none,台湾猬盲蝽; 台灣猬盲椿; 带胸猬盲蝽; 帶胸猬盲椿象; 猬盲蝽属; 臺灣猬盲椿象,Bugs,True,
Tlascala,tlascala moth; honey locus leafroller,none,Moths,True,
Torymus,apple seed chalcidoid wasp; apple seed chalcid,中华长尾小蜂; 长尾小蜂属,Wasps,True,
Trachea,orache moth; emerald-dusted sallow,明陌夜蛾; 暗斑陌夜蛾; 白斑陌夜蛾; 陌夜蛾; 陌夜蛾属; 黑环陌夜蛾,Moths,True,
Trichomma,none,毛眼姬蜂属; 毛眼姬蜂屬; 纵卷叶螟毛眼姬蜂; 黑小毛眼姬蜂,Wasps,True,
Trichordestra,striped garden caterpillar moth; aster cutworm; wrinkled trichordestra,none,Moths,True,
Trigona,fox-colored stingless bee; red-tailed stingless bee; spiny-legged stingless bee; pale-orange stingless bee; rusty-tailed stingless bee; chanchamayo stingless bee; gray-headed stingless bee; muzo stingless bee; long-winged toothed stingless bee; guianan stingless bee; underground vulture bee; brauer's stingless bee; dalla torre's stingless bee; hyaline-winged stingless bee,none,Bees,True,
Tytthus,none,中华淡翅盲蝽; 中華淡翅盲蝽; 淡翅盲蝽属,Bugs,True,
Nicrophorus,lesser vespillo burying beetle; burying beetles; black burying beetle; margined burying beetle; banded sexton beetle; yellow-bellied burying beetle; roundneck sexton beetle; tomentose burying beetle; gold-necked carrion beetle; pustulated carrion beetle; lesser vespillo sexton beetle; boreal sexton beetle; vespillo burying beetle; black sexton beetle; sexton beetles; american burying beetle; carolina burying beetle; common sexton beetle; giant carrion beetle; say's burying beetle; common burying beetle; margined sexton beetle; boreal burying beetle; hispaniolan burying beetle,两裆覆葬甲; 中国覆葬甲; 丽覆葬甲; 亮覆葬甲; 仵作覆葬甲; 典型覆葬甲; 前星埋葬蟲; 前星覆葬甲; 后星覆葬甲; 四星埋葬蟲; 四星覆葬甲; 埋覆葬甲; 基纹覆葬甲; 墨西哥埋葬蟲; 墨西哥負葬甲; 墨黑覆葬甲; 壮覆葬甲; 大黑埋葬蟲; 寻尸覆葬甲; 尼泊尔覆葬甲; 尼泊爾埋葬蟲; 扰墓覆葬甲; 拟蜂纹覆葬甲; 擬蜂型埋葬蟲; 擬蜂紋埋葬蟲; 日本埋葬蟲; 日本负葬甲; 普氏覆葬甲; 智利埋葬蟲; 智利負葬甲; 毛星覆葬甲; 浅色覆葬甲; 淆覆葬甲; 理氏覆葬甲; 细纹覆葬甲; 细腿黑覆葬甲; 美洲埋葬蟲; 美洲覆葬甲; 蒙古覆葬甲; 蜂型埋葬蟲; 蜂紋埋葬蟲; 蜂纹覆葬甲; 衿覆葬甲; 覆葬甲属; 覆葬甲屬; 超高覆葬甲; 达乌里覆葬甲; 长脊黑覆葬甲; 魔黑覆葬甲; 黄角覆葬甲; 黑覆葬甲; 黑负葬甲,Beetles,True,
Nycteola,frigid owlet; grey midget moth; eastern nycteoline; oak nycteoline; sallow nycteoline; forgotten frigid owlet,亚皮夜蛾; 亚皮瘤蛾; 皮夜蛾; 皮夜蛾属; 肋皮夜蛾; 黑纹皮夜蛾,Moths,True,
Nysius,wheat bug; rutherglen bug; wēkiu bug; wēkiu seedbug; mauna kea bug; mauna loa bug; mauna loa seedbug; mauna loa wēkiu bug; mauna kea wēkiu bug; false chinch bugs; invermay bug; fleabane groundbug; wolff's groundbug; caledonia seed bug; false chinch bug,丝光小长蝽; 丝尖小长蝽; 小長椿屬; 小長椿象; 小長蝽屬; 小长蝽; 小长蝽属; 麦小长蝽,Bugs,True,
Oenochroma,pink-bellied moth; ribbed wine moth; turner's wine moth,none,Moths,True,
Operophtera,winter moth; bruce spanworm; northern winter moth; bruce spanworm moth; western bruce spanworm; western winter moth,冬尺蛾; 柔秋尺蛾; 栎秋尺蛾; 灰褐波冬尺蛾; 瑞秋尺蛾; 秋尺蛾; 秋尺蛾属,Moths,True,
Orthaga,teatree web moth,刷须瘤丛螟; 栗叶瘤丛螟; 樟叶瘤丛螟; 樟巢螟; 樟綴葉螟; 橄绿瘤丛螟; 瘤丛螟属; 盐肤木瘤丛螟; 金黄瘤丛螟; 黄绿瘤丛螟,Moths,True,
Ouleus,panna skipper; blue-patched zera,none,Butterflies,True,
Ourapteryx,swallow-tailed moth; clara's swallowtailed moth,优尾尺蛾; 偏黑尾尺蛾; 台灣黑緣尾尺蛾; 小尾尺蛾; 尾尺蛾属; 尾尺蛾屬; 平尾尺蛾; 张氏尾尺蛾; 張氏尾尺蛾; 接骨木尾尺蛾; 枝紋尾尺蛾; 栉尾尺蛾; 淡白粗紋尾尺蛾; 淡黃尾尺蛾; 淡黃雙斑尾尺蛾; 淡黃雙紅尾尺蛾; 淡黄双斑尾尺蛾; 淡黄粗纹尾尺蛾; 点尾尺蛾; 白宽尾尺蛾; 白宽尾尺蛾（台湾亚种）; 白寬尾尺蛾 台灣亞種; 白寬尾尺蛾 指名亞種; 白寬尾尺蛾 長尾尺蛾; 白短尾尺蛾; 白褐緣尾尺蛾; 聚尾尺蛾; 芝麻尾尺蛾; 褐斑尾尺蛾; 褐緣白短尾尺蛾; 长尾尺蛾; 雪尾尺蛾; 黃尾尺蛾; 黄尾尺蛾; 黑帶尾尺蛾,Moths,True,
Oxybelus,none,刺胸泥蜂属; 葉刺刺胸泥蜂,Wasps,True,
Panurginus,black-tipped miner bee; inept miner bee,毛地蜂属; 黄跗毛地蜂; 黑毛地蜂; 黑足毛地蜂,Bees,True,
Paria,oak parium; oak paria; strawberry rootworm; four-marked oval leaf beetle; willow paria; juniper paria,none,Beetles,True,
Paropomala,pale toothpick grasshopper; wyoming toothpick grasshopper,none,Grasshoppers,True,
Perixera,none,小眼斑褐姬尺蛾; 小褐姬尺蛾; 派尺蛾; 花斑褐姬尺蛾; 褐姬尺蛾属; 褐姬尺蛾屬; 閃電姬尺蛾; 隱帶褐姬尺蛾; 黄斑褐姬尺蛾,Moths,True,
Phaenocarpa,none,光鞘反颚茧蜂属,Wasps,True,
Philonthus,blue-winged rove beetle; disk-shaped rove beetle; gopher tortoise rove beetle; western gopher tortoise rove beetle,紫翅菲隐翅虫; 菲隐翅虫属; 铜翅菲隐翅虫,Beetles,True,
Phoebis,cloudless sulphur; large orange sulphur; statira sulphur; tailed sulphur; orange-barred sulphur; apricot sulphur; orange-washed sulphur; american orange-barred sulphur; edith's sulphur; boisduval's sulphur; marcellina sulphur; southern cloudless sulphur; caribbean cloudless sulphur; antillean large orange sulphur; hispaniolan apricot sulfur; jamaican apricot sulphur; cuban apricot sulfur; cuban orange-barred sulphur; hispaniolan orange-barred sulphur; hispaniolan orange-barred sulfur; florida statira sulphur; straight-lined sulphur; cuban statira sulphur; dark apricot sulphur; puerto rican apricot sulfur,尖尾菲粉蝶; 杏菲粉蝶; 柔菲粉蝶; 橙菲粉蝶; 爱菲粉蝶; 红菲粉蝶; 菲粉蝶属; 黄纹菲粉蝶; 黄菲粉蝶,Butterflies,True,
Platysphinx,mealy hawk,none,Moths,True,
Podisus,spined soldier bug,刺益蝽属; 箭刺益蝽,Bugs,True,
Formica,"southern wood ant; western thatching ant; allegheny mound ant; silvery field ant; wood, mound, and field ants; hairy wood ant; prairie mound ant; blood-red field ant; black-backed meadow ant; wood ants; mound ants; field ants; silky field ant; northern red wood ant; scottish wood ant; narrow-headed wood ant; black bog ant; red-barbed ant; blood-red slave-making ant; japanese wood ant; hewitt's mound ant; uncertain field ant; pallidefulva-group field ants; pallidefulva-group mound ants; pallidefulva-group wood ants; southern red wood ant; cinerea-group field ants; cinerea-group mound ants; cinerea-group wood ants; exsecta-group field ants; exsecta-group mound ants; exsecta-group wood ants; fusca-group wood ants; fusca-group field ants; fusca-group mound ants; vinegar ant; skull-collecting ant; blood-red ant; pacific field ant; rufa-group wood ants; francoeur's field ant; prairie field ant; flat-haired mound ant; wily field ant; neogagates-group wood ants; neogagates-group field ants; neogagates-group mound ants; rufibarbis-group wood ants; rufibarbis-group field ants; rufibarbis-group mound ants; slave-raider field and mound ants; sanguinea-group mound ants; sanguinea-group field ants; sanguinea-group wood ants; bradley's field ant; wilson’s field ant; adams's wood ant; mann's field ant; oregon field ant; wheeler's field ant; podzol ant; variable field ant; pale field ant; fleet ants; subpilosa-group field ants; ulke's mound ant; ulke's field ant; hybrid wood ant; adams' mound ant; new world red bearded ant; dakota mound ant; pergande's mound ant; icy mound ant; eastern mound ant; isabelline mound ant; ruddy slave-making ant; wickerwork mound ant; new world black ant; creighton's slavemaking ant; light bronze mound ant; silky ant; bent-haired mound ant; exsecta-group wood and mound ants; fusca-group field ants and allies; canadian mound ant; hairy mound ant; curious mound ant; compact mound ant; emery's mound ant; pitted mound ant; blunt-haired mound ant; western mound ant; hill mound ant; wheeler's mound ant; european wood ant; colorado mound ant; grey field ant; bright mound ant",下毛蚁; 下毛蚁种团; 不定蚁; 东美山蚁; 丝光灰褐蚁; 丝光褐林蚁; 丝光褐林蚁复合群; 中亚凹头蚁; 中华红林蚁; 乌拉尔蚁; 乌氏凹头蚁; 乌苏里林蚁; 亚光林蚁; 亮林蚁; 亮腹黑褐蚁; 光亮黑蚁; 光滑背蚁; 光腹黑蚁; 北京凹头蚁; 北方蚁; 北方蚁 × 多栉蚁; 匿林蚁; 十胜石蚁; 台湾山蚁; 叶盛山蚁; 吉冈蚁; 四川凹唇蚁; 塔里木蚁; 多栉蚁; 多毛林蚁; 天山服蚁; 布氏蚁; 库氏林蚁; 拟毛林蚁; 拟毛眼林蚁; 掘穴蚁; 掠奴蚁; 新红须蚁; 新黑褐蚁; 新黑褐蚁种团; 日本山蟻; 日本黑褐蚁; 暗足蚁; 杂交林蚁（多栉蚁 × 红褐林蚁）; 林氏蚁; 橙色服蚁; 欺骗蚁; 毛林蚁; 毛眼林蚁; 毛眼林蚁种团; 毛胫赤山蚁; 油亮黑蚁; 法氏蚁; 淡黄褐蚁; 淡黄褐蚁种团; 满洲凹头蚁; 灰壤林蚁; 灰褐林蚁; 灰褐蚁; 灰褐蚁种团; 爱生蚁; 石狩红蚁; 红头蚁; 红褐林蚁; 红褐林蚁种团; 红须蚁; 红须蚁-种团; 缺毛黑褐蚁; 美西山蚁; 臺灣山蟻; 芙氏凹头蚁; 茎居红须林蚁; 草原蚁; 草甸蚁; 莫氏蚁; 莱曼氏蚁; 葉盛山蟻; 蒙大拿蚁; 蚁属; 蟻屬; 血红林蚁; 血红林蚁种团; 西藏蚁; 达科他山蚁; 近丝光蚁; 钝毛林蚁; 长毛林蚁; 阿勒泰凹头蚁; 黑曜蚁; 黑褐蚁,Ants,True,
Glaucopsyche,silvery blue; green-underside blue; arrowhead blue; behr's silvery blue; palos verdes blue; couper's blue; southern silvery blue; black-eyed blue; paphos blue; xerces blue; northern silvery blue; appalachian silvery blue; arizona silvery blue; columbia blue; mini-spotted silvery blue; georgian silvery blue; mojave silvery blue; anatolian black-eyed blue; smoky arrowhead blue; glaucopsyche xerces; lycormas blue,戈灰蝶; 戈灰蝶属; 甜灰蝶; 蓝底戈灰蝶; 黎戈灰蝶,Butterflies,True,
Hadrodemius,none,巨材小蠹属,Beetles,True,
Helicoverpa,cotton bollworm moth; scarce bordered straw moth; corn earworm; corn earworm moth; chickpea pod borer moth; legume pod borer moth; cape gooseberry budworm; confused moth; minute noctuid moth; tomato fruitworm moth; australian fruitworm; australian fruitworm moth; african bollworm moth; american boll-worm; tomato fruitworm; bollworm; native budworm,棉鈴實夜蛾; 棉铃夜蛾; 棉铃虫; 烟草夜蛾; 烟青虫; 煙實夜蛾; 玉米螟; 番茄夜蛾; 谷实夜蛾（美洲棉铃虫）; 铃夜蛾属,Moths,True,
Heriades,resin bees; large-headed resin bee; leavitt's armored-resin bee; large-headed armoured-resin bee; indomalayan armoured-resin bee; armored-resin bees; sauter's armoured-resin bee; crenulate armoured-resin bee; carinate armored-resin bee; hole resin bees; small-headed resin bee,孔蜂属; 孔蜂屬; 紹德孔蜂; 黑孔蜂,Bees,True,
Hesperia,leonard's skipper; nevada skipper; indian skipper; cobweb skipper; juba skipper; lindsey's skipper; branded skippers; columbian skipper; american branded skipper; common branded skipper; silver-spotted skipper; green skipper; apache skipper; pahaska skipper; dotted skipper; pawnee skipper; assiniboine skipper; harpalus skipper; oregon branded skipper; dakota skipper; uncas skipper; ottoe skipper; pawnee montane skipper; eastern leonard's skipper; meske's skipper; giuliani's skipper; yosemite skipper; idaho branded skipper; yosemite branded skipper; sierra skipper; western nevada skipper; spring mountains comma skipper; railroad valley skipper; white river valley skipper; leussler's skipper; white mountains skipper; plains branded skipper; plains skipper; north american indian skipper; great basin branded skipper; tilden’s branded skipper; leussler’s branded skipper; seminole skipper; eastern meske's skipper; rockland grass skipper - keys race; dodge's skipper; nabokov's skipper; mountain skipper; reese river skipper; hilly land skipper; sassacus skipper; sublime skipper; laurentian skipper; manitoba skipper; hulbirt's skipper; western branded skipper,弄蝶; 弄蝶属; 红弄蝶,Butterflies,True,
Hyalopterus,mealy plum aphid; mealy plum-reed aphids; mealy peach aphid; mealy almond aphid,[拟]扁桃大尾蚜害; [拟]桃大尾蚜害、山杏大尾蚜害; [拟]欧洲李蚜害; 大尾蚜属; 扁桃大尾蚜; 桃粉大尾蚜; 桃粉蚜; 欧李大尾蚜; 芦苇粉大尾蚜,Aphids,True,
Hyperomyzus,sowthistle aphid; nipplewort aphid; currant-yellow rattle aphid; gooseberry-sowthistle aphid; oxtongue aphid; currant-daisy aphids,苍白超瘤蚜; 苦苣超瘤蚜; 茶藨子苦菜超瘤蚜; 超瘤蚜属,Aphids,True,
Isodontia,grass-carrying wasps; charcoal digger wasp; brown-legged grass-carrying wasp; mexican grass-carrying wasp; elegant grass-carrying wasp,扁股泥蜂; 扁股泥蜂属; 扁股泥蜂屬; 粗腿扁股泥蜂; 褐毛扁股泥蜂; 褐足扁股泥蜂; 黑扁股泥蜂; 齒唇扁股泥蜂; 齿唇等齿泥蜂,Wasps,True,
Kocakina,intractable quaker,none,Moths,True,
Labopidea,onion plant bug,none,Bugs,True,
Labops,black grass bug,none,Bugs,True,
Lepidosaphes,apple mussel scale; maskell scale; mediterranean fig scale; citrus mussel scale; oystershell scale; purple scale; camellia scale; glover scale; red oystershell scale; citrus long scale; comma scale; common mussel scale; cymbidium scale; de stefan scale; esaki scale; fig oystershell scale; hawthorn oystershell scale; juniper comma scale; mango scale; pine oystershell scale; newstead scale; oriental pine scale; oystershell mango scale; poplar oystershell scale; yellow pistachio hard scale; croton mussel scale,none,Scales,True,
Leptidea,wood white; northwest-asian wood white; fenton’s wood white; wood whites; réal's wood white; eastern wood white; cryptic wood white,云南小粉蝶; 圆翅小粉蝶; 小粉蝶属; 条纹小粉蝶; 突角小粉蝶; 莫氏小粉蝶; 雷小粉蝶,Butterflies,True,
Leucochrysa,lichen-carrying green lacewing; lichen-bearing green lacewing; lichen bug,none,Lacewings,True,
Lithophane,hemina pinion moth; dowdy pinion; lemmer's pinion; dashed gray pinion moth; ashen pinion moth; northern white cedar lithophane; bailey's pinion moth; thaxter's pinion moth; immigrant pinion moth; sycamore pinion moth; large grey pinion moth; nameless pinion moth; wanton pinion moth; plush-naped pinion moth; amanda's pinion moth; bethune's pinion moth; hoary pinion moth; grote's pinion moth; broad ashen pinion moth; dimorphic pinion moth; shivering pinion moth; blair's shoulder-knot; tawny pinion; conformist; nonconformist; softly's shoulder-knot; hemina pinion; shivering pinion; singed pinion moth; broad ashen pinion; grey shoulder-knot; pale pinion; dimorphic pinion; grote's pinion; acadian pine pinion; connecticut pinion; bethune's pinion; ashen pinion; dimorphic brown pinions; thaxter's pinion and allies; hoary pinion and allies; cedar pinion moth; bald cypress pinion moth; bald cypress pinion; bald cypress pinion and allies; cypress pinions; cedar pinion; pine pinions; large grey pinion; large gray pinion; hoary pinion; amanda's pinion; plush-naped pinion and allies; plush-naped pinion; dashed gray pinion; nameless pinion; immigrant pinion; wanton pinion; singed pinion; sycamore pinion; signate pinion; pale green pinion; bailey's and shivering pinions and allies; thaxter's pinion; ashen pinions and allies; franclemont's pinion; russet-spotted pinion; bailey's pinion; brown pinion; buckeye pinion; branded pinion; alder pinion; white-eyed pinion; canadian cedar pinion,none,Moths,True,
Lithurgopsis,flat-faced cactus bee; orange-tipped woodborer; southeastern woodborer; barrel cactus woodborer; west mexican woodborer,none,Bees,True,
Lygus,north american tarnished plant bug; western tarnished plant bug; lygus bugs; european tarnished plant bug; pale legume bug; cotton-shoot leaf-bugs,牧草盲蝽; 美国草盲蝽; 草盲蝽属; 长毛草盲蝽,Bugs,True,
Manduca,rustic sphinx moth; ash sphinx moth; carolina sphinx moth; five-spotted hawk moth; tobacco hornworm; muscosa sphinx moth; occult sphinx moth; blackburn's sphinx moth; hawaiian hornworm moth; muscosa sphinx; ash sphinx; rustic sphinx; carolina sphinx; occult sphinx; blackburn's sphinx; hawaiian tobacco hornworm; hawaiian tomato hornworm; hawaiian hornworm sphinx; tomato hornworm; five-spotted hawkmoth; hispaniolan hornworm; florestan sphinx,烟草天蛾; 烟草天蛾属,Moths,True,
Manuelia,gay's austral-small carpenter; black austral-small carpenter; orange-tipped austral-small carpenter,none,Bees,True,
Melecta,mourning bees; common mourning bee; square-spotted mourning bee,中国毛斑蜂; 毛斑蜂属; 毛斑蜂屬,Bees,True,
Lon,zabulon skipper; hobomok skipper; taxiles skipper; umber skipper; oyamel skipper; chiapas' umber skipper; mexican umber skipper,珑弄蝶属; 茶褐珑弄蝶,Butterflies,True,
Lycaena,small copper; purple-edged copper; north island coastal copper; glade copper; rauparaha's copper; lustrous copper; sooty copper; north island boulder copper; boulder butterfly; rauparaha's copper butterfly; pepe pora riki; north island glade copper; snow's copper; large copper; scarce copper; balkan copper; purple-shot copper; lesser fiery copper; fiery copper; maui's copper; grecian copper; canterbury alpine boulder copper; lycaena butterflies; japanese copper; western alpine boulder copper; white-bordered copper; iberian sooty copper; winter copper; canterbury common copper; oberthür's copper; anatolian fiery copper; green copper; ladakh common copper; small copper butterfly; south island glade copper; american copper; beartooth american copper; dusky american copper; arethusa copper; yellowish american copper; eastern american copper; turkish fiery copper; kurdistan copper,丽罕莱灰蝶; 华山呃灰蝶; 古灰蝶; 噢旺灰蝶; 庞呃灰蝶; 斑貉灰蝶; 斯旦呃灰蝶; 昙梦灰蝶; 橙昙灰蝶; 橙灰蝶; 沙灰蝶; 灰蝶属; 灰蝶屬; 紅灰蝶; 索尔红灰蝶; 紫罗兰昙灰蝶; 红灰蝶; 陈呃灰蝶; 麗罕萊灰蝶,Butterflies,True,
Lygaeus,common milkweed bug; small milkweed bug; false milkweed bug; black-and-red bug; eastern small milkweed bug; western small milkweed bug; southern small milkweed bug; small milkweed bug complex; lygaeus equestris / simulans complex; cretan seed bug; reddish black chinch bug,卡氏红长蝽; 拟方红长蝽; 拟红长蝽; 方红长蝽; 横带红长蝽; 紅長蝽屬; 红长蝽属; 角红长蝽,Bugs,True,
Macrodiplosis,oak vein pocket gall midge; marginal leaf fold gall midge,栎粗铗瘿蚊; 粗铗瘿蚊属,Flies,True,
Megacerus,red megacerus; large-horned bruchids; coastal red bruchid; cubical bruchid,none,Beetles,True,
Melanaspis,red maple scale; black elaegnus scale; black elaeagnus scale; obscure scale; gloomy scale; brown pineapple scale; deciduous fruit scale; smilax scale,菝葜黑圆盾蚧; 黑圆盾蚧属,Scales,True,
Merops,little bee-eater; swallow-tailed bee-eater; whitethroated bee-eater; blue-tailed bee-eater; rainbow bee-eater; southern carmine bee-eater; european bee-eater; chestnut-headed bee-eater; white-throated bee-eater; boehm's bee-eater; black-headed bee-eater; white-fronted bee-eater; red-throated bee-eater; black bee-eater; rosy bee-eater; blue-headed bee-eater; northern carmine bee-eater; cinnamon-chested bee-eater; blue-cheeked bee-eater; somali bee-eater; madagascar bee-eater; blue-breasted bee-eater; rufous-crowned bee-eater; blue-throated bee-eater; blue-moustached bee-eater; typical bee-eaters; olive bee-eater; böhm's bee-eater; rainbowbird; southern little bee-eater; bã¶hm's bee-eater; west african blue-cheeked bee-eater; common blue-cheeked bee-eater; eastern blue-cheeked bee-eater; carmine bee-eater; pale little bee-eater; chestnut-headed bee-eater (javan); asian green bee-eater; african green bee-eater; arabian green bee-eater; ethiopian bee-eater; eastern little bee-eater; mabe; bbbe; libe; sobe; ncbe; scbe; robe; wtbe; eube; bhbe; bobe; rtbe; wfbe; blbe; stbe; etbe; bmbe; ccbe; agbe; western green bee-eater; common green bee-eater; sri lankan green bee-eater; chestnut-headed bee-eater (andaman); chestnut-headed bee-eater (chestnut-headed); savanna white-fronted bee-eater,南红蜂虎; 埃塞俄比亚蜂虎; 小蜂虎; 彩虹蜂虎; 斯里蘭卡綠喉蜂虎; 栗喉蜂虎; 栗头蜂虎; 栗頭蜂虎; 棕冠蜂虎; 燕尾蜂虎; 白喉蜂虎; 白额蜂虎; 粉蜂虎; 索马里蜂虎; 綠喉蜂虎; 红胸蜂虎; 红蜂虎; 绿喉蜂虎; 绿喉蜂虎（云南亚种）; 绿喉蜂虎（指名亚种）; 蓝喉蜂虎; 蓝头蜂虎; 蓝胸蜂虎; 蓝顶绿喉蜂虎; 蓝须蜂虎; 蓝领蜂虎; 蓝颊蜂虎; 藍喉蜂虎; 藍頰蜂虎; 蜂虎属; 蜂虎屬; 赤喉蜂虎; 马岛蜂虎; 黃喉蜂虎; 黄喉蜂虎; 黑头蜂虎; 黑蜂虎,Birds,True,
Metanema,pale metanema; dark metanema moth; yellow-lined thorn; pale metanema moth,none,Moths,True,
Methona,giant glasswing; themisto amberwing; confusa tigerwing,浑似透翅绡蝶; 透翅绡蝶,Butterflies,True,
Mononychus,iris weevil,none,Beetles,True,
Mycalesis,dingy bushbrown; orange bushbrown; bushbrowns; dark-brand bush brown; dark-branded bushbrown; lilacine bushbrown; common bushbrown; dingy bush-brown; orange bush-brown; siamese bushbrown; white-bar bushbrown; malabar glad-eye bushbrown; long brand bushbrown; malayan bushbrown; burmese bushbrown; purple bushbrown; malayan bush brown; cedar bushbrown; chinese bushbrown; dakhan dark-branded bushbrown; glad-eye bushbrown; horsfield's bushbrown; eliot's bushbrown; tawny bushbrown; south china bushbrown; cyclops bushbrown; intermediate bushbrown; red bushbrown; wood mason's bushbrown; bandless bushbrown; watson's bushbrown; annam bushbrown; long brand bush brown; tamil bushbrown; cedar bush-brown; cingalese bushbrown; andamanese eyed bushbrown; wavy bushbrown; hewitson's bushbrown; large white-bar bushbrown; dakhan common bushbrown; dakhan dingy bushbrown; indian long-branded bushbrown; sahyadri white-bar bushbrown; igoleta bushbrown; ryukyu bushbrown; tagala bushbrown; tytler's bushbrown,中介眉眼蝶; 切翅單環蝶; 切翅眉眼蝶; 君主眉眼蝶; 嘉义眉眼蝶; 嘉義眉眼蝶; 圆翅眉眼蝶; 圓翅單環蝶; 大理石眉眼蝶; 姬蛇目蝶; 小單環眉眼蝶; 小眉眼蝶; 小蛇目蝶; 平頂眉眼蝶; 平顶眉眼蝶; 拟稻眉眼蝶; 拟裴眉眼蝶; 擬裴眉眼蝶; 新目蝶; 曲斑眉眼蝶; 曲紋眉眼蝶; 橙斑眉眼蝶; 無紋蛇目蝶; 独眼眉眼蝶; 琵它眉眼蝶; 眉眼蝶; 眉眼蝶属; 眉眼蝶屬; 稻眉眼蝶; 苏达眉眼蝶; 蓝色眉眼蝶; 裴斯眉眼蝶; 锡金眉眼蝶; 锯缘眉眼蝶; 霍氏眉眼蝶,Butterflies,True,
Neandra,pole borer beetle; pole borer,褐异天牛,Beetles,True,
Nemognatha,orange blister beetle; beebalm blister beetle; eastern black-headed nemognatha; red sharp-necked nemognatha,none,Beetles,True,
Neotephritis,sunflower seed maggot,none,Flies,True,
Oberea,cottonwood twig borer beetle; dogwood twig borer; oak-sprout oberea; cottonwood twig borer; eggplant stemborer; raspberry cane borer; sassafras borer; sumac stem borer; leafy spurge stem boring beetle; poplar twig borer,上海筒天牛; 中黑筒天牛; 凹尾筒天牛; 台湾筒天牛; 暗翅筒天牛; 槐黑筒天牛; 灰翅筒天牛; 瞳筒天牛; 短足筒天牛; 短頸蘋果天牛; 筒天牛属; 筒天牛屬; 臺灣筒天牛; 舟山筒天牛; 蓬萊蘋果天牛; 黄盾筒天牛; 黑尾蘋果天牛; 黑筒天牛; 黑腹筒天牛,Beetles,True,
